user,group_id,seed,correct,total,accuracy,points,raw_points,accuracy_bonus,ts,mode,topic,subtopic,levels,raw_points_total,raw_points_main,raw_points_spartan,accuracy_bonus_main,accuracy_bonus_spartan,spartan_scaled_points,spartan_attempts,spartan_correct,spartan_accuracy,spartan_mode,direction,points_main,points_spartan_raw,points_spartan_scaled,save_id
MontaInterno,,,4,4,1,92.5,62.5,30,2025-11-30 13:34:40,sentence,Restaurant & Pub,Complaints,"1,3",,,,,0,,0,0,0,0,eo_to_ja,62.5,0,0,7a25496e-03fa-4bc3-a4fe-d38cbc7889da
MontaInterno,,,6,8,0.75,149.5,104.5,45,2025-11-30 13:41:49,sentence,Plane,Airport Signs,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,104.5,0,0,2e1c5d3a-3afa-444c-be89-57608ac7a233
MontaInterno,,,8,8,1,209,149,60,2025-11-30 13:44:10,sentence,Plane,Airport Signs,"1,2,3,4,5",,,,,0,,0,0,0,1,ja_to_eo,149,0,0,d513e1f2-b8a4-47be-8298-6651998b5681
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,182,,40,2025-11-30 13:47:01,vocab,,,,142,142,0,40,0,0,0,0,0,1,ja_to_eo,,,,ab0bd145-5a2f-41a9-a163-1597fa30b6f6
camegone,adjective:beginner_1:g1,1,21,22,0.9545454545,424,,105,2025-11-30 15:15:39,vocab,,,,325,305,20,105,0,14,1,1,1,1,eo_to_ja,,,,7995f985-d3e1-4364-8b5c-09b22e36259d
MontaInterno,,,8,12,0.6666666667,179.75,119.75,60,2025-11-30 15:52:08,sentence,Basic Sentences,Apologies,"1,2,3,4",,,,,0,,0,0,0,0,ja_to_eo,119.75,0,0,ec67e8a4-a56b-496d-9c53-f0bc95a1c9fa
MontaInterno,,,37,38,0.9736842105,1289.925,1012.425,277.5,2025-11-30 17:48:22,sentence,Other Transport,At the Bus Station,"1,2,3,4,5,10,8,9,7,6",,,,,0,,1,1,1,1,ja_to_eo,996.5,22.75,15.925,bfa345a6-6fc0-4dbf-a686-9e74a3b5608a
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,,110,2025-12-01 4:20:06,vocab,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,e2b7a8df-2175-49af-abce-fcb4d561b2e8
MontaInterno,noun:advanced_6:g4,1,25,26,0.9615384615,624.15,,125,2025-12-01 4:35:47,vocab,,,,506.5,482,24.5,125,0,17.15,1,1,1,1,eo_to_ja,,,,5f469bd4-16c5-4f70-8b0d-7ab27f61322d
MontaInterno,,,45,49,0.9183673469,1444.75,1107.25,337.5,2025-12-01 23:22:00,sentence,Services,At the Bank,"3,4,5,6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,1107.25,0,0,64e29558-c133-451f-8702-e8ddad88360f
MontaInterno,,,36,38,0.9473684211,1165.75,895.75,270,2025-12-13 9:08:16,sentence,Health,Treatment,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,0,ja_to_eo,895.75,0,0,6e88aa25-551a-47b3-9c52-1dffdd289b21
MontaInterno,verb:advanced_6:g3,1,20,20,1,515,,100,2025-12-13 9:44:59,vocab,,,,415,415,0,100,0,0,0,0,0,1,eo_to_ja,,,,690be65d-397c-4e91-b06f-9ee7d94f3232
MontaInterno,verb:advanced_6:g2,1,16,20,0.8,399.2,,80,2025-12-13 9:47:37,vocab,,,,340.5,269.5,71,80,0,49.7,4,4,1,1,eo_to_ja,,,,29260e92-9f16-41d2-9487-4e3231bd1b48
MontaInterno,noun:advanced_6:g3,1,21,27,0.7777777778,523.6,,105,2025-12-13 11:27:47,vocab,,,,448,350,98,105,0,68.6,9,6,0.6666666667,1,eo_to_ja,,,,4d8bd030-c9d2-49f1-b981-db874c57a35a
MontaInterno,,,50,50,1,2156.75,1781.75,375,2025-12-13 11:36:59,sentence,Health,At the Pharmacy,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,1,ja_to_eo,1781.75,0,0,817d4705-98b1-4345-a15a-60b798dab988
MontaInterno,,,50,50,1,2156.75,1781.75,375,2025-12-13 11:37:02,sentence,Health,At the Pharmacy,"1,2,3,4,5,10,9,8,7,6",,,,,0,,0,0,0,1,ja_to_eo,1781.75,0,0,1845c3d4-f3f2-452d-b85e-a0419b640276
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,6,8,0.75,155.9,,30,2025-12-13 14:24:49,vocab,,,,135.5,103.5,32,30,0,22.4,4,2,0.5,1,eo_to_ja,,,,8551ba03-a1c8-476a-a361-676e6fa795b0
Mingeo,numeral:advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,21,21,1,546,,105,2025-12-14 6:30:03,vocab,,,,441,441,0,105,0,0,0,0,0,0,eo_to_ja,,,,6c606d6b-c8c9-4199-9dd7-c31f82575eb8
Mingeo,,,30,30,1,987.25,762.25,225,2025-12-14 6:41:56,sentence,Education,Numbers & Colours,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,762.25,0,0,dd26795a-c724-44c0-afc9-9be98d667cf8
Mingeo,,,32,32,1,1240,1000,240,2025-12-14 6:46:53,sentence,Education,Numbers & Colours,"6,7,8,9,10",,,,,0,,0,0,0,0,eo_to_ja,1000,0,0,c71bd087-2743-4ca5-a297-df955ea9c68f
hayakazekanichan,adjective:beginner_1:g1,1,17,22,0.7727272727,310.5,,85,2025-12-28 11:14:34,vocab,,,,243.5,183.5,60,85,0,42,5,5,1,1,eo_to_ja,,,,0221d0b2-7144-4b10-b2b8-6d4ab3d1614e
unbi,adjective:beginner_1:g1,1,22,22,1,445.5,,110,2025-12-29 14:25:15,vocab,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,8bb85922-6e72-4ba8-8987-6a2aa6edf0df
unbi,noun:beginner_1:g1,1,24,25,0.96,458,,120,2025-12-29 14:27:21,vocab,,,,338,338,0,120,0,0,0,0,0,0,eo_to_ja,,,,cba97b06-c0a9-43b7-ab33-059d2bfed903
unbi,noun:beginner_1:g2,1,25,25,1,525,,125,2025-12-29 14:29:19,vocab,,,,400,400,0,125,0,0,0,0,0,0,eo_to_ja,,,,13666284-1f98-4d23-b0b8-5ef67549db76
unbi,noun:beginner_1:g3,1,25,25,1,525,,125,2025-12-29 14:31:22,vocab,,,,400,400,0,125,0,0,0,0,0,0,eo_to_ja,,,,68a8c8d9-bf5c-47bc-90c7-071f4e94955b
unbi,,,15,16,0.9375,370.75,258.25,112.5,2025-12-29 14:34:45,sentence,Basic Sentences,Apologies,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,258.25,0,0,5e4af836-901b-44f0-9198-298d03f9df72
unbi,adjective:beginner_2:g1,1,22,22,1,445.5,,110,2025-12-29 21:21:07,vocab,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,ce04e6cf-3eed-4dc8-9d82-cc2309e80ff1
unbi,adjective:beginner_3:g1,1,22,22,1,445.5,,110,2025-12-30 1:18:24,vocab,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,578fb9fd-a5fc-4b20-a153-cd19964d3d4c
suika,verb:beginner_1:g1,1,28,28,1,609,,140,2026-01-05 10:52:04,vocab,,,,469,469,0,140,0,0,0,0,0,0,eo_to_ja,,,,8c318c1a-b1d4-4dbf-a809-dcf2118da633
Lingvenko,adjective:advanced_1:g1,1,24,24,1,642,,120,2026-02-22 15:18:55,vocab,,,,522,522,0,120,0,0,0,0,0,0,eo_to_ja,,,,c6cd3c80-7124-44ce-9f96-45b2ed7dcd42
Lingvenko,adjective:advanced_2:g1,1,18,24,0.75,399.5,,90,2026-02-22 15:22:21,vocab,,,,309.5,309.5,0,90,0,0,0,0,0,0,eo_to_ja,,,,bc534917-9f5a-4eeb-9edf-26c08fb9e88d
Lingvenko,adjective:advanced_3:g1,1,22,24,0.9166666667,509.5,,110,2026-02-22 15:25:22,vocab,,,,399.5,399.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,529b3be1-d046-4a64-a186-d8f9e5bbfcb3
Lingvenko,adjective:advanced_4:g1,1,23,24,0.9583333333,543.5,,115,2026-02-22 15:28:49,vocab,,,,428.5,428.5,0,115,0,0,0,0,0,0,eo_to_ja,,,,8205984d-3274-4535-a9b3-57a2cd3ba71b
Lingvenko,adjective:advanced_5:g1,1,19,24,0.7916666667,422,,95,2026-02-22 15:31:45,vocab,,,,327,327,0,95,0,0,0,0,0,0,eo_to_ja,,,,ccc306c7-798f-4211-a9af-d961709a0e5f
Lingvenko,adjective:advanced_6:g1,1,19,23,0.8260869565,432,,95,2026-02-22 15:35:30,vocab,,,,337,337,0,95,0,0,0,0,0,0,eo_to_ja,,,,9c82fea2-025f-4262-9da6-302b8e1f9e56
Lingvenko,bare_adverb:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,24,25,0.96,610.5,,120,2026-02-22 15:38:07,vocab,,,,490.5,490.5,0,120,0,0,0,0,0,0,eo_to_ja,,,,39cc04df-4c5c-4ec9-8b4e-b6b7d55bad47
Lingvenko,correlative:intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,28,28,1,777,,140,2026-02-22 15:42:39,vocab,,,,637,637,0,140,0,0,0,0,0,0,eo_to_ja,,,,505171c4-1695-4e1e-9e96-0c0548bfe109
Lingvenko,prefix:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,11,11,1,258.5,,55,2026-02-22 15:44:04,vocab,,,,203.5,203.5,0,55,0,0,0,0,0,0,eo_to_ja,,,,9c176b83-7831-4265-8d59-3a8b4cd2c143
Lingvenko,suffix:advanced_3+advanced_4+advanced_5+advanced_6:g1,1,24,24,1,642,,120,2026-02-22 15:47:28,vocab,,,,522,522,0,120,0,0,0,0,0,0,eo_to_ja,,,,22b42187-9f6c-4fc9-a5c7-3b4c04ec8b8f
Lingvenko,preposition:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g2,1,16,16,1,396,,80,2026-02-22 15:49:44,vocab,,,,316,316,0,80,0,0,0,0,0,0,eo_to_ja,,,,5dc16f70-850e-400a-aad3-79537b8a247a
Lingvenko,numeral:advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,20,21,0.9523809524,469.5,,100,2026-02-22 15:52:20,vocab,,,,369.5,369.5,0,100,0,0,0,0,0,0,eo_to_ja,,,,30fac024-0e41-4c3e-8c71-b2e2b728d580
Lingvenko,adverb:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,10,10,1,232.5,,50,2026-02-22 15:54:08,vocab,,,,182.5,182.5,0,50,0,0,0,0,0,0,eo_to_ja,,,,3f9246f2-4584-4ac9-a5fc-ad9a83c31fac
Lingvenko,noun:intermediate_1:g1,1,23,25,0.92,473,,115,2026-02-22 16:03:41,vocab,,,,358,358,0,115,0,0,0,0,0,0,eo_to_ja,,,,7abfd689-f250-42ca-9f86-72498b68bcb4
Lingvenko,noun:intermediate_1:g2,1,23,24,0.9583333333,510.5,,115,2026-02-22 16:06:07,vocab,,,,395.5,395.5,0,115,0,0,0,0,0,0,eo_to_ja,,,,6cdfeb57-2bf3-4e68-9240-2621fa93a7b0
Lingvenko,noun:intermediate_1:g3,1,21,24,0.875,431,,105,2026-02-22 16:08:42,vocab,,,,326,326,0,105,0,0,0,0,0,0,eo_to_ja,,,,fba4d9ec-49c6-4e14-a644-7b50777d9cd5
Lingvenko,noun:intermediate_1:g4,1,24,24,1,570,,120,2026-02-22 16:10:51,vocab,,,,450,450,0,120,0,0,0,0,0,0,eo_to_ja,,,,555435cd-65f5-4e40-aabf-0cdba3d7d2ac
Lingvenko,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,182,,40,2026-02-22 16:12:12,vocab,,,,142,142,0,40,0,0,0,0,0,0,eo_to_ja,,,,40b47cc1-9158-4cad-b68d-82fbc2d4bbfc
Lingvenko,,,16,16,1,442,322,120,2026-02-22 16:14:55,sentence,Basic Sentences,Instructions,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,322,0,0,c161de8d-73e5-44b6-888b-daad5cec97e5
Lingvenko,,,24,24,1,741,561,180,2026-02-22 16:19:38,sentence,Communication Means,At the Post Office,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,561,0,0,45c02f8e-f224-4e9a-bc0a-eb19d5bb682b
Lingvenko,,,14,14,1,391.25,286.25,105,2026-02-22 16:22:20,sentence,Communication Means,Letter,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,286.25,0,0,e3ef8234-6500-4874-8167-5b627b82eaee
Lingvenko,,,21,21,1,634.5,477,157.5,2026-02-22 16:25:20,sentence,Education,At University,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,477,0,0,ef2624a9-cd6c-4b25-836e-ee4ff804efc4
Lingvenko,,,30,30,1,987.25,762.25,225,2026-02-22 16:29:23,sentence,Education,Numbers & Colours,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,762.25,0,0,94b55bed-49bd-4e23-a007-8d85a616fe1e
Lingvenko,,,23,24,0.9583333333,638.75,466.25,172.5,2026-02-22 16:33:03,sentence,Education,Student Life,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,466.25,0,0,1502bb79-0e31-4ac8-a063-5846c03c16db
Lingvenko,,,30,30,1,1022.25,797.25,225,2026-02-22 16:37:41,sentence,Restaurant & Pub,At the Pub,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,797.25,0,0,c2db3020-efa7-4de9-9b9d-6acba493a2a7
Lingvenko,,,20,21,0.9523809524,557.5,407.5,150,2026-02-23 8:20:14,sentence,Leisure Time,At the Museum,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,407.5,0,0,b990e1ec-db32-4194-9ca3-c26d23a2fbbb
Lingvenko,,,24,24,1,735,555,180,2026-02-23 8:25:29,sentence,Leisure Time,At the Theatre,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,555,0,0,b3ae1354-f0c1-43d3-8c89-62e8664ba84c
Lingvenko,,,12,12,1,313.5,223.5,90,2026-02-23 8:29:51,sentence,Leisure Time,Music,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,223.5,0,0,f242f50a-bff8-41d9-8947-8a5e7d4a1adb
Lingvenko,,,33,33,1,1128,880.5,247.5,2026-02-23 8:35:41,sentence,Leisure Time,Sport,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,880.5,0,0,352eefbe-293a-4c4c-baef-f918a92332cd
Lingvenko,,,26,26,1,822.75,627.75,195,2026-02-23 8:42:09,sentence,Leisure Time,Having Guests,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,627.75,0,0,13b79f3f-5fc4-4db1-bd13-9c4b3802cbdc
MontaInterno,,,15,15,1,487.75,375.25,112.5,2026-02-23 16:59:49,sentence,Basic Sentences,Apologies,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,375.25,0,0,29e6bd33-0b71-4ed0-9e1c-755e0ff88663
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,,110,2026-02-23 17:07:45,vocab,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,,29e1b89b-caa1-43c4-b787-3f13aa8ddb5d
MontaInterno,,,16,16,1,526,406,120,2026-02-24 17:09:33,sentence,Jobs,Recommendation Letter,"5,6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,406,0,0,be29ae09-758d-4292-8f35-43acc5883876
MontaInterno,,,23,24,0.9583333333,764.75,592.25,172.5,2026-02-24 17:40:42,sentence,General Conversation,Expressing Feelings,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,592.25,0,0,7fa51530-12ac-403d-9770-f75afea27d88
MontaInterno,,,22,24,0.9166666667,715.775,550.775,165,2026-02-24 18:01:25,sentence,General Conversation,Expressing Feelings,"6,7,8,9,10",,,,,0,,2,2,1,1,ja_to_eo,508.25,60.75,42.525,d701c559-88d4-4080-90f0-0a5d54797262
MontaInterno,,,27,27,1,992.25,789.75,202.5,2026-02-28 15:11:16,sentence,Health,At the Pharmacy,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,789.75,0,0,b9108f03-922c-4e78-adbd-5cb3795dcd84
MontaInterno,,,24,24,1,856,676,180,2026-03-02 2:57:40,sentence,Travel,Excursions,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,676,0,0,9c158486-3536-47a1-bcb3-71932eca2564
probe,,,,,,0,,,2026-03-03T00:00:00,vocab,,,,,,,,,,,,,,,,,,probe-only
