kind,id,key,text,status,existing_size,generated_size
vocab,filmo,filmo,filmo,ok,41564,41564
vocab,filo,filo,filo,ok,36524,36524
vocab,filozofio,filozofio,filozofio,ok,67484,67484
vocab,filtri,filtri,filtri,ok,45164,45164
vocab,financo,financo,financo,ok,52844,52844
vocab,fingro,fingro,fingro,ok,42524,42524
vocab,fini,fini,fini,ok,40124,40124
vocab,firma,firma,firma,ok,40364,40364
vocab,firmao,firmao,firmao,ok,47324,47324
vocab,fisxo,fisxo,fiŝo,ok,40124,40124
vocab,fiziko,fiziko,fiziko,ok,49244,49244
vocab,flago,flago,flago,ok,41804,41804
vocab,flagri,flagri,flagri,ok,46364,46364
vocab,flamo,flamo,flamo,ok,42284,42284
vocab,flanko,flanko,flanko,ok,49004,49004
vocab,flari,flari,flari,ok,38684,38684
vocab,flati,flati,flati,ok,42044,42044
vocab,flava,flava,flava,ok,41804,41804
vocab,flegi,flegi,flegi,ok,42044,42044
vocab,fleksi,fleksi,fleksi,ok,48044,48044
vocab,fliki,fliki,fliki,ok,43004,43004
vocab,flirti,flirti,flirti,ok,47804,47804
vocab,floro,floro,floro,ok,39164,39164
vocab,floso,floso,floso,ok,44684,44684
vocab,flugi,flugi,flugi,ok,42764,42764
vocab,flui,flui,flui,ok,39644,39644
vocab,fluido,fluido,fluido,ok,49724,49724
vocab,flustri,flustri,flustri,ok,51164,51164
vocab,foiro,foiro,foiro,ok,44684,44684
vocab,fojno,fojno,fojno,ok,40124,40124
vocab,fojo,fojo,fojo,ok,38684,38684
vocab,folio,folio,folio,ok,46604,46604
vocab,fondi,fondi,fondi,ok,44444,44444
vocab,fonetiko,fonetiko,fonetiko,ok,56924,56924
vocab,fono,fono,fono,ok,38684,38684
vocab,fonografo,fonografo,fonografo,ok,61724,61724
vocab,fontano,fontano,fontano,ok,56204,56204
vocab,fonto,fonto,fonto,ok,47084,47084
vocab,for,for,for,ok,27164,27164
vocab,for_esti,for_esti,for/esti,ok,53084,53084
vocab,forgesi,forgesi,forgesi,ok,55004,55004
vocab,forgxi,forgxi,forĝi,ok,46124,46124
vocab,forko,forko,forko,ok,43964,43964
vocab,formala,formala,formala,ok,51404,51404
vocab,formato,formato,formato,ok,53804,53804
vocab,formiko,formiko,formiko,ok,49964,49964
vocab,formo,formo,formo,ok,42284,42284
vocab,formulo,formulo,formulo,ok,47324,47324
vocab,forno,forno,forno,ok,39644,39644
vocab,forta,forta,forta,ok,45644,45644
vocab,fortika,fortika,fortika,ok,48284,48284
vocab,fortuno,fortuno,fortuno,ok,49964,49964
vocab,forumo,forumo,forumo,ok,45644,45644
vocab,fosi,fosi,fosi,ok,44204,44204
