Esperanto,Japanese_Trans,Chinese_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
embaraso,"{Ｂ}当惑, 困惑, 狼狽（ろうばい）; 障害, 迷惑, 厄介（やっかい）",困境；狼狈，尴尬,B,7.0,2.0,5.67,6.33
emerito,"{Ｂ}（年金を受給できる）退職者, >>pensiulo",离休者，退休者,C,9.0,3.0,8.79,8.9
eminenta,"{Ｂ}傑出した, 抜きんでた, 優れた, 卓越した; 高位の, 高名な, 著名な",卓越，杰出；优质，优良,C,8.0,3.0,8.79,8.4
en,{Ｂ}［前］（場所）～の中で; （時間）～の間に; （状態）～において; （衣服）～を着て,在…里,A,1.0,1.0,2.54,1.77
energio,"{Ｂ}活力, 精力; 【理】エネルギー; 【環】エネルギー",精力，干劲；能,B,7.0,2.0,5.67,6.33
enigmo,"{Ｂ}謎（なぞ）; 《転》不可解なもの, >>mistero",谜语,C,8.0,3.0,8.79,8.4
entrepreni,"{Ｂ}［他］企てる, 着手する, 取りかかる",着手，从事，进行,C,8.0,3.0,8.79,8.4
enui,"{Ｂ}［自］退屈している, うんざりしている",生厌，倦怠，感到无聊,C,7.0,3.0,8.79,7.9
envii,"{Ｂ}［他］欲しがる, >>avidi; うらやむ, ねたむ, >>ĵaluzi",羡慕，忌妒,C,8.0,3.0,8.79,8.4
epoko,"{Ｂ}時代; 【地質】世, >>periodo（紀）, >>erao（代）, >>aĝo（期）",纪元，时代,B,7.0,2.0,5.67,6.33
erari,"{Ｂ}［自］誤る, 間違う; 道に迷う",迷路；犯错误，犯过失,A,4.0,1.0,2.54,3.27
escepti,"{Ｂ}［他］除外する, 例外とする, >>ekskludi",排除，除外,B,8.0,2.0,5.67,6.83
esenco,"{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno",本质，实质，核心,B,8.0,2.0,5.67,6.83
esperi,"{Ｂ}［自・他］希望する, 期待する, >>deziri, >>atendi",希望，期望,A,4.0,1.0,2.54,3.27
esplori,"{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する",考察，探索,B,7.0,2.0,5.67,6.33
esprimi,"{Ｂ}［他］表現する, 示す, 言い表す, >>eldiri",表示，表现，表达,B,7.0,2.0,5.67,6.33
establi,"{Ｂ}［他］設置する, 開設する, 創立する, 確立する, 制定する",设立,C,9.0,3.0,8.79,8.9
esti,"{Ｂ}［自］（～）である; いる, 存在する",存在；是,A,2.0,1.0,2.54,2.27
estimi,"{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>ŝati, >>respekti",尊重，敬重，敬仰,B,5.0,2.0,5.67,5.33
estingi,"{Ｂ}［他］（火や明かりを）消す; 《転》消す, 消滅させる",扑灭，熄灭,B,6.0,2.0,5.67,5.83
etaĝo,"{Ｂ}階（欧州と日米で数え方が異なる）, >>teretaĝo, >>unua etaĝo, >>dua etaĝo",楼层,B,7.0,2.0,5.67,6.33
etendi,"{Ｂ}［他］伸ばす; （手を伸ばして）差し出す; （金属を）延ばす; 広げる, 拡張する",伸展；铺开,B,7.0,2.0,5.67,6.33
